Year_only,state_abbrev,homeless_count,Sale_Prices,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore
2016,LA,21046,163075.0,,93.58595831030232,105.22914413568134,119.56468448506332,118.87661836218017
2016,MA,94740,331708.3333333333,317.1016449391518,221.83414569912023,210.53420384001183,211.63551130326974,183.34903603959842
2016,MD,39480,248500.0,199.99664244475764,171.2126002297609,162.80469382294666,166.72997097337415,170.1812342035781
2016,ME,11044,,197.40991274293847,158.915973107499,137.10992496575767,125.5230397798365,111.98592277149493
2016,MI,46678,,107.47201064932932,103.70693057018171,110.66986236803866,125.66649092618441,134.00236168326458
2016,MN,38104,210683.33333333334,174.9857752672215,146.23979551711284,158.5452117996239,165.59600497965218,170.04540993464516
2016,MO,35318,156625.0,95.70110155683533,80.94906275209551,95.65401559317779,106.65181842674832,99.69036325859305
2016,MS,8414,,,80.42947315850613,84.17402090363818,97.36712100403649,98.3398101769467
2016,MT,7082,240683.33333333334,221.20716729544858,168.70825615794217,161.05162176204593,168.58045628271134,172.54501602230275
2016,NC,47676,,,,,,
2016,ND,4788,,,,,,
2016,NE,13562,154808.33333333334,131.89239617372468,116.74583353281633,120.36059671617767,119.94432915375057,122.561571310484
2016,NH,7404,,,,,,
2016,NJ,43862,,,,,,
2016,NM,12930,,,,,,
2016,NV,39590,217691.66666666666,152.58595413951937,128.36919962317992,132.5060013145829,130.372450114856,125.84254275061083
2016,NY,398450,,,,,,
2016,OH,50656,122466.66666666667,89.33629809329427,76.76865769947794,85.71990841174325,100.30188653037305,87.40979285811329
2016,OK,21908,132050.0,83.81729208211208,69.31904076768423,93.37108755429377,107.10281521510092,113.09640291900065
2016,OR,75044,274650.0,239.80638761480407,185.56343990623668,171.44127486480306,172.1566094391484,164.43119424220342
2016,PA,76154,151216.66666666666,138.0260225977795,105.68991112482566,105.56775323717424,120.3466907183069,101.61078232829631
2016,PR,25914,,,,,,
2016,RI,5796,,,,,,
2016,SC,27040,,,,,,
2016,SD,5138,,,,,,
2016,TN,46292,149166.66666666666,,105.2797039770852,103.0240884454558,112.69332726212532,119.58979475871534
2016,TX,118182,196083.33333333334,177.09279551438883,134.18919728643908,109.46203303045826,114.53618862191125,123.28269333000975
2016,UT,13386,249641.66666666666,163.67741259934516,157.13523013751907,154.7448859527395,155.18315390948558,158.08538495315517
2016,VA,31262,253400.0,241.55768267635457,143.4932528758615,137.7549185778141,146.2860815732295,156.91372561529366
2016,VI,1564,,,,,,
2016,VT,5762,,152.40522964246583,146.8714258230431,140.7742727884769,138.81694680750684,121.72161840785968
2016,WA,103862,294916.6666666667,270.17935374784435,192.74605174955698,174.27343802644842,174.81798770673265,183.9881927988281
2016,WI,27656,163283.33333333334,139.400274866045,119.64764599870442,119.1083714328925,113.19173742469242,98.35669671419826
2016,WV,7020,140341.66666666666,111.10049037406769,81.74469497372597,90.59060032987837,93.59290892165654,89.20119461331944
